"x"
"押"
"無"
"月"
"在"
"去"
"不"
"杜甫"
"與"
"李白"
"人"
"有"
"復"
"來"
"為"
"王維"
"下"
"欲"
"長"
"歸"
"上"
"誰"
"我"
"皆"
"到"
"多"
"是"
"已"
"之"
"如"
"事"
"聽"
"絃"
"時"
"送"
"萬里"
"向"
"一"
"亦"
"不見"
"從"
"得"
"盡"
"夢"
"年"
"先韻"
"又"
"道"
"二首"
"生"
"聲"
"水"
"臺"
"之二"
"之一"
"至"
"中"
"隔"
"好"
"何處"
"後"
"見"
"看"
"前"
"雲"
"真韻"
"自"
"不得"
"不知"
"愁"
"更"
"故人"
"行"
"迴"
"將軍"
"馬"
"豈"
"望"
"未"
"新"
"遠"
"支韻"
"長安"
"出"
"處"
"飛"
"今"
"開"
"明月"
"入"
"死"
"無人"
"心"
"夜"
"春風"
"但"
"登"
"杜牧"
"間"
"君"
"空"
"女"
"琵琶"
"青山"
"日"
"隨"
"昨夜"
"對"
"風雨"
"芙蓉"
"浮雲"
"還"
"寒"
"和"
"黃"
"寄"
"酒"
"可憐"
"客"
"裡"
"暮"
"能"
"妾"
"三首"
"使"
"思"
"聞"
"相見"
"韻"
"白日"
"不可"
"初"
"春"
"歸來"
"過"
"寂寞"
"近"
"君王"
"老"
"滿"
"難"
"且"
"青"
"日暮"
"山"
"山中"
"深"
"四首"
"歎"
"王孫"
"微韻"
"斜"
"尋"
"押韻"
"顏色"
"哀"
"白"
"白髮"
"白雲"
"薄"
"不敢"
"草"
"岑參"
"此"
"地"
"洞庭"
"都"
"高"
"歌"
"古來"
"何"
"恨"
"忽"
"江南"
"金陵"
"空山"
"淚"
"冷"
"李頎"
"盧綸"
"綠"
"茫茫"
"美人"
"鳥"
"秋水"
"曲"
"卻"
"如何"
"若"
"十五"
"蜀"
"天涯"
"同"
"吾"
"稀"
"宿"
"陽韻"
"飲"
"雨"
"贈"
"重"
"住"
"八月"
"把"
"碧"
"不能"
"才"
"曾"
"長風"
"遲"
"吹"
"澹"
"東風"
"動"
"獨"
"渡"
"發"
"歌韻"
"金"
"啾"
"闌干"
"柳"
"洛陽"
"落"
"落葉"
"明"
"明朝"
"凝"
"平明"
"平生"
"萋"
"侵韻"
"清"
"秋"
"如此"
"收"
"書"
"曙"
"樹"
"他"
"天子"
"問"
"無題"
"夕陽"
"相識"
"相思"
"一夜"
"衣裳"
"邑"
"憶"
"應"
"月夜"
"雲山"
"賊"
"之三"
"走"
"醉"
"傍"
"悲"
"被"
"別"
"別離"
"并序"
"不成"
"不堪"
"長相"
"成"
"船"
"催"
"大"
"對此"
"分"
"紛紛"
"風塵"
"逢"
"拂"
"各"
"古跡"
"骨肉"
"故鄉"
"漢家"
"行人"
"花"
"黃河"
"黃昏"
"回"
"會"
"或"
"即"
"集"
"家"
"嫁"
"江上"
"接"
"嗟"
"今日"
"驚"
"久"
"哭"
"留"
"流水"
"輪臺"
"羅"
"落花"
"落日"
"沒"
"門前"
"冥冥"
"莫"
"南山"
"期"
"騎"
"起"
"青天"
"輕"
"人生"
"日月"
"刪韻"
"少婦"
"十年"
"始"
"世事"
"遂"
"天地"
"晚"
"聞道"
"無情"
"無限"
"五首"
"兮"
"谿"
"香"
"蕭條"
"蕭蕭"
"蕭韻"
"信"
"煙塵"
"一曲"
"衣"
"意"
"詠懷"
"由"
"猶"
"遊"
"於"
"餘"
"鴛鴦"
"猿"
"早"
"張祜"
"正"
"舟"
"竹"
"子"
"最"
"樽"
"坐"
"白骨"
"白頭"
"邊"
"便"
"蒼蒼"
"蒼茫"
"滄海"
"曹"
"長江"
"長沙"
"乘"
"出塞"
"處處"
"川"
"崔顥"
"待"
"單于"
"彈琴"
"道士"
"登高"
"登臨"
"第一"
"東"
"度"
"斷腸"
"髮"
"風"
"風波"
"鳳凰"
"感遇"
"干行"
"高樓"
"宮"
"宮詞"
"宮中"
"共"
"孤"
"古"
"鼓"
"故"
"廣陵"
"寒食"
"韓"
"韓愈"
"漢陽"
"何時"
"何事"
"花落"
"黃鸝"
"江流"
"江水"
"江頭"
"今朝"
"荊門"
"旌旗"
"就"
"捲"
"可"
"苦"
"李"
"兩"
"寥落"
"流"
"廬山"
"路"
"亂"
"美酒"
"廟"
"名"
"明日"
"暝"
"弄"
"暖"
"珮"
"蓬萊"
"齊韻"
"遣"
"秦"
"青溪"
"情"
"邱"
"秋夜"
"闕"
"人間"
"日夕"
"散"
"掃"
"沙場"
"少府"
"沈"
"濕"
"石鼓"
"戍"
"霜"
"說"
"四時"
"送別"
"桃花"
"啼"
"天"
"外"
"萬古"
"萬事"
"王"
"望月"
"文韻"
"西山"
"昔"
"昔時"
"下馬"
"相"
"相逢"
"相望"
"消息"
"小"
"曉"
"笑"
"兄弟"
"喧"
"雪"
"言"
"揚州"
"楊柳"
"夜深"
"一聲"
"依舊"
"以"
"倚"
"隱者"
"幽人"
"悠悠"
"遊子"
"語"
"元"
"元稹"
"早朝"
"照"
"者"
"只"
"至今"
"寘"
"主人"
"渚"
"子夜"
"作"
"暗"
"黯"
"白首"
"白雪"
"拜"
"薄暮"
"杯酒"
"悲懷"
"北斗"
"波瀾"
"不曾"
"不到"
"不覺"
"不如"
"不遇"
"纔"
"殘"
"草木"
"插"
"常"
"腸斷"
"朝"
"陳"
"丞相"
"城南"
"城闕"
"惆悵"
"出門"
"傳"
"垂"
"垂楊"
"春色"
"辭"
"從此"
"從今"
"翠華"
"翠微"
"蹉跎"
"達"
"大荒"
"大漠"
"帶"
"丹青"
"當時"
"蕩"
"倒"
"低頭"
"弟子"
"簟"
"東流"
"東韻"
"杜鵑"
"渡頭"
"兒女"
"芳草"
"翡翠"
"風吹"
"峰"
"烽火"
"楓葉"
"奉"
"夫婿"
"夫子"
"高閣"
"高適"
"歌聲"
"歌舞"
"宮殿"
"孤城"
"孤燈"
"孤帆"
"古今"
"故關"
"故園"
"觀"
"貴"
"行宮"
"行樂"
"何當"
"何如"
"紅"
"紅顏"
"翃"
"忽聞"
"胡天"
"花開"
"懷"
"黃鶴"
"黃金"
"黃葉"
"揮手"
"魂"
"雞"
"幾度"
"幾時"
"幾重"
"寂寂"
"寂寥"
"佳人"
"劍閣"
"江海"
"江山"
"借問"
"今夜"
"荊扉"
"驚風"
"靜"
"九"
"九重"
"君臣"
"郡"
"可以"
"闊"
"了"
"淚痕"
"李益"
"連"
"連天"
"簾"
"良人"
"兩岸"
"臨洮"
"玲瓏"
"靈臺"
"留別"
"龍"
"樓"
"樓上"
"虜"
"綠水"
"茫然"
"每"
"覓"
"漠漠"
"那"
"南斗"
"霓裳"
"徘徊"
"盤"
"霹靂"
"屏風"
"頗"
"祇"
"千金"
"千里"
"千門"
"千載"
"乾"
"錢起"
"羌笛"
"衾"
"青冢"
"清秋"
"窮"
"秋風"
"秋日"
"秋雨"
"秋月"
"勸君"
"繞"
"人家"
"人事"
"仍"
"日出"
"日色"
"三峽"
"色"
"僧"
"沙"
"山川"
"山色"
"珊瑚"
"商人"
"尚"
"少"
"舍人"
"身"
"深林"
"似"
"誓將"
"手持"
"蜀道"
"曙色"
"庶"
"數"
"司空"
"寺"
"松"
"松下"
"送客"
"雖"
"歲"
"堂"
"桃李"
"涕淚"
"天際"
"天氣"
"天下"
"田家"
"迢迢"
"鐵衣"
"託"
"晚來"
"萬戶"
"望鄉"
"帷"
"惟"
"幃"
"未有"
"文章"
"我心"
"巫峽"
"五更"
"五月"
"五嶽"
"西南"
"西施"
"昔日"
"息"
"惜"
"先帝"
"相與"
"歇"
"謝"
"繡"
"押送"
"巖"
"掩"
"宴"
"漾"
"邀"
"遙"
"野老"
"夜泊"
"夜雨"
"一杯"
"一片"
"一身"
"一枝"
"矣"
"殷勤"
"陰陰"
"鸚鵡"
"猶為"
"有情"
"漁樵"
"玉"
"怨"
"越"
"嶽"
"雲中"
"雜詩"
"哉"
"簪"
"沾襟"
"昭陽"
"棹"
"謫"
"征人"
"征戰"
"之難"
"之四"
"之作"
"知音"
"至尊"
"置酒"
"終"
"終南"
"州"
"珠簾"
"逐"
"追"
"自有"
"哀鳴"
"安可"
"安能"
"鞍馬"
"闇"
"岸"
"巴陵"
"罷"
"灞"
"白帝"
"白露"
"百年"
"百事"
"斑"
"半"
"伴"
"飽"
"寶劍"
"盃"
"悲秋"
"北風"
"奔"
"觱栗"
"遍"
"變"
"變調"
"別業"
"別意"
"冰"
"柄"
"波上"
"補闕"
"不發"
"不還"
"不解"
"不盡"
"不肯"
"不是"
"不信"
"不在"
"不足"
"猜"
"彩雲"
"參差"
"參天"
"慘"
"滄江"
"側"
"惻"
"釵"
"纏"
"閶"
"長河"
"常建"
"嘗"
"嫦娥"
"朝別"
"車馬"
"塵埃"
"成眠"
"呈"
"城北"
"城樓"
"城頭"
"城外"
"城中"
"乘舟"
"遲遲"
"赤松"
"躊躇"
"出郊"
"出入"
"出師"
"初見"
"初落"
"貙"
"除"
"楚江"
"楚山"
"吹角"
"垂釣"
"垂淚"
"陲"
"春草"
"春城"
"春宮"
"春寒"
"春日"
"春思"
"春心"
"春游"
"春雨"
"春怨"
"祠廟"
"詞"
"此地"
"此曲"
"此去"
"此時"
"賜"
"從軍"
"從來"
"竄"
"崔"
"崔塗"
"崔嵬"
"摧"
"翠"
"村"
"大夫"
"大江"
"大將"
"大廈"
"帶雨"
"戴"
"丹"
"旦暮"
"但"
"見"
"彈"
"澹然"
"刀"
"倒挂"
"道路"
"得意"
"燈影"
"低"
"隄"
"滴"
"笛"
"弟兄"
"奠"
"殿裡"
"刁斗"
"凋"
"弔"
"東來"
"東門"
"東南"
"東望"
"洞"
"動地"
"斗"
"獨立"
"獨夜"
"獨有"
"獨酌"
"讀"
"杜"
"斷"
"斷絕"
"堆"
"多難"
"多情"
"峨眉"
"惡"
"而"
"二"
"二月"
"發揚"
"蕃"
"翻"
"翻疑"
"煩"
"繁"
"繁華"
"返"
"方平"
"房"
"放"
"妃"
"非"
"飛花"
"飛上"
"分散"
"封"
"封侯"
"風急"
"風流"
"風色"
"風沙"
"風煙"
"縫"
"奉送"
"俸錢"
"扶持"
"服"
"浮梁"
"甫"
"俯"
"赴"
"婦"
"富貴"
"賦得"
"蓋"
"感此"
"感時"
"干戈"
"干人"
"高樹"
"高堂"
"高下"
"割據"
"閣道"
"弓箭"
"公之"
"功"
"共醉"
"孤高"
"孤舟"
"古木"
"古意"
"古原"
"骨"
"顧"
"關塞"
"關山"
"關中"
"管絃"
"冠"
"光彩"
"閨中"
"歸去"
"歸雁"
"鬼神"
"鬼物"
"郭"
"還鄉"
"海上"
"含笑"
"寒光"
"寒日"
"漢兵"
"漢宮"
"漢江"
"漢文"
"瀚海"
"行到"
"行舟"
"合"
"何必"
"何人"
"何日"
"何為"
"何須"
"何用"
"何在"
"河北"
"河南"
"闔"
"黑"
"橫"
"紅樹"
"鴻"
"鴻雁"
"忽然"
"胡"
"胡兒"
"胡笳"
"胡人"
"湖"
"蝴蝶"
"虎"
"許渾"
"花影"
"畫"
"話"
"淮南"
"懷古"
"歡笑"
"宦遊"
"浣紗"
"荒"
"荒城"
"灰"
"麾"
"回日"
"昏"
"魂魄"
"積雪"
"積雨"
"饑"
"及"
"急"
"幾回"
"幾千"
"幾人"
"幾日"
"既"
"祭"
"際"
"薊北"
"繫"
"佳期"
"家書"
"賈生"
"賈誼"
"賈至"
"建德"
"劍"
"澗"
"餞別"
"江村"
"江漢"
"江湖"
"江陵"
"江州"
"將"
"絳"
"蛟"
"蛟龍"
"教"
"解"
"今古"
"今夕"
"金殿"
"金河"
"金闕"
"金屋"
"錦"
"錦瑟"
"盡日"
"經冬"
"經過"
"逕"
"竟夕"
"鏡湖"
"九華"
"九江"
"九月"
"救"
"舊"
"舊業"
"居"
"居處"
"局促"
"菊花"
"舉杯"
"舉國"
"詎"
"絕"
"絕頂"
"君問"
"君子"
"開國"
"客舍"
"肯"
"空見"
"空林"
"空向"
"孔子"
"恐是"
"苦恨"
"況是"
"窺"
"愧君"
"蠟炬"
"蠟燭"
"來往"
"闌"
"老大"
"老將"
"老人"
"梨花"
"離"
"離別"
"李端"
"理"
"立"
"歷歷"
"連山"
"憐"
"涼風"
"涼州"
"梁州"
"林"
"鄰"
"臨"
"泠"
"淩"
"令"
"劉"
"柳色"
"六"
"龍城"
"龍池"
"龍鍾"
"樓臺"
"鹿門"
"淥"
"露草"
"鸞"
"輪"
"馬川"
"馬上"
"馬蹄"
"埋"
"埋沒"
"麥苗"
"滿地"
"滿天"
"漫漫"
"毛"
"茅屋"
"茂陵"
"美"
"孟郊"
"夢魂"
"迷花"
"淼"
"名山"
"明鏡"
"鳴琴"
"鳴鐘"
"莫是"
"木"
"牧童"
"那堪"
"乃"
"男"
"男兒"
"南渡"
"南風"
"南遊"
"泥"
"輦"
"念"
"齧"
"牛渚"
"女兒"
"攀"
"判官"
"畔"
"袍"
"醅"
"裴"
"蓬門"
"蓬山"
"漂泊"
"飄飄"
"頻"
"娉"
"平"
"平沙"
"坡"
"七"
"妻子"
"栖"
"淒涼"
"淒淒"
"歧路"
"麒麟"
"綺"
"氣蒸"
"棄"
"千家"
"千秋"
"前殿"
"潛行"
"悄然"
"橋"
"青春"
"青冥"
"青鳥"
"青青"
"青松"
"青雲"
"清晨"
"清川"
"清風"
"清光"
"清輝"
"清江"
"傾"
"傾國"
"輕舟"
"晴"
"請君"
"窮巷"
"秋色"
"裘"
"瞿塘"
"取"
"去年"
"佺"
"泉"
"勸"
"闕題"
"鵲"
"群鷗"
"苒"
"人行"
"日落"
"日夜"
"榮"
"如雨"
"若非"
"颯颯"
"三"
"三邊"
"三分"
"三軍"
"三千"
"三日"
"三湘"
"三月"
"散入"
"搔"
"搔頭"
"山東"
"山房"
"山河"
"山林"
"山路"
"山石"
"山水"
"山寺"
"山西"
"賞"
"上將"
"上來"
"上書"
"少陵"
"少年"
"少小"
"射"
"摵"
"身上"
"深閨"
"深淺"
"深鎖"
"神"
"神明"
"生長"
"生女"
"生涯"
"聖代"
"聖明"
"聖相"
"師"
"十里"
"十千"
"十萬"
"石"
"石魚"
"拾遺"
"時見"
"時同"
"識"
"世界"
"世情"
"侍女"
"是非"
"守"
"受降"
"殊"
"黍"
"衰草"
"誰知"
"水晶"
"水深"
"私語"
"思鄉"
"斯人"
"斯文"
"絲竹"
"死別"
"四方"
"四海"
"四十"
"四座"
"松柏"
"蘇武"
"素手"
"隋宮"
"碎"
"歲暮"
"鎖"
"他人"
"榻"
"苔"
"臺上"
"太華"
"太廟"
"太平"
"太真"
"桃源"
"陶然"
"題"
"天長"
"天寒"
"天姥"
"天明"
"田"
"田園"
"挑"
"迢遞"
"汀洲"
"停"
"通"
"同時"
"同是"
"僮僕"
"頭"
"頭上"
"突兀"
"圖"
"吞聲"
"屯"
"萬"
"萬籟"
"翫"
"往事"
"輞"
"望君"
"微"
"微風"
"微霜"
"微雨"
"韋諷"
"韋莊"
"唯有"
"嵬"
"違"
"未改"
"未眠"
"未央"
"渭城"
"穩"
"問答"
"問君"
"問客"
"翁"
"我歌"
"臥"
"臥病"
"嗚呼"
"吳宮"
"吳中"
"無邊"
"無端"
"無力"
"無言"
"蕪"
"五"
"五湖"
"五陵"
"五十"
"舞"
"舞劍"
"物華"
"西"
"西風"
"西望"
"洗"
"下有"
"仙"
"仙樂"
"先主"
"閑"
"閒"
"閒坐"
"相對"
"相送"
"相向"
"鄉"
"鄉書"
"鄉心"
"襄陽"
"向來"
"向晚"
"蕭瑟"
"瀟湘"
"小姑"
"斜暉"
"斜陽"
"謝公"
"新豐"
"新年"
"新人"
"新雨"
"新知"
"新妝"
"星"
"星河"
"星宿"
"形跡"
"姓名"
"匈奴"
"休"
"玄宗"
"雪山"
"尋常"
"潯"
"濬"
"壓"
"崖"
"煙籠"
"煙水"
"煙霧"
"煙霞"
"燕"
"陽城"
"颺"
"腰"
"搖落"
"瑤池"
"杳"
"也"
"野寺"
"夜半"
"夜長"
"夜風"
"夜久"
"夜思"
"一處"
"一寸"
"一劍"
"一年"
"一瓢"
"一去"
"一生"
"一為"
"衣服"
"衣冠"
"依依"
"移"
"已涼"
"意氣"
"驛"
"因"
"陰山"
"陰陽"
"吟"
"飲馬"
"隱處"
"隱隱"
"英雄"
"縈"
"影"
"潁川"
"擁"
"詠"
"呦"
"幽徑"
"幽居"
"憂"
"由來"
"猶得"
"猶似"
"猶是"
"猶疑"
"猶自"
"有人"
"有時"
"有意"
